experiment_id,scenario_generator,scenario_variant_id,seed,method,time_s,entity,entity_id,robot_index,assigned_load_label,active,battery_fraction,x,y,theta_rad,vx,vy,target_x,target_y,target_theta_rad,wrench_margin,wrench_residual_norm,support_level,paused,degraded_speed,event_phase
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,20.3,load,load-02,,2,,,5.453976952482468,-0.002270855056715638,0.3252269505650349,0.0,0.0,5.76,-0.0,0.3141592653589793,0.0,0.0,1.0,False,False,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,20.3,load,load-03,,3,,,0.4514250150318743,3.382826571735043,0.19935640275351751,0.3935306779162028,-0.47909665573745586,5.76,-3.0800000000000005,0.17453292519943295,0.040565676480946555,0.0,1.0405656764809466,False,False,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,21.000000000000004,robot,amr-01,1,3,True,0.6266794483299974,-0.4260024971864207,2.920729471043047,,0.37633490669563235,-0.4116729979324792,-0.1104572254762548,2.613791118326792,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,21.000000000000004,robot,amr-02,2,0,True,0.7721614655891419,4.252615695543109,-0.3078289167624222,,-0.01379628568107023,0.0015474277950852278,4.252615695543109,-0.3078289167624222,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,21.000000000000004,robot,amr-03,3,3,True,0.6994513666445502,-0.5589928346953903,3.623252474317139,,0.40268217741440804,-0.5044859985472292,-0.20997359684589578,3.154713009018433,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,21.000000000000004,robot,amr-04,4,3,True,0.603465737033274,1.1336990522172627,3.2511856460723934,,0.38921159315312037,-0.48826795144798274,1.459158845422993,2.8364711353350733,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,21.000000000000004,robot,amr-05,5,0,True,0.7724386783603981,5.6660964427252285,-0.4663686459743628,,0.00749819950253156,-0.020876533533169202,5.6660964427252285,-0.4663686459743628,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,21.000000000000004,robot,amr-06,6,1,True,0.7895631633249341,0.31733186136456215,-3.366857466657951,,0.34691469031861005,0.5158803256290414,0.5887624837655414,-2.8945591065459797,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,21.000000000000004,robot,amr-07,7,0,True,0.7696703484726354,6.066800632772205,0.7634102804404582,,0.00629808617853867,0.019329105738083975,6.066800632772205,0.7634102804404582,,,,,,,post_event
SP6_MC_robustness_comparison_high_power,communication_radius_decay,communication_radius_decay_v00,7200,classic_centralized_replan,21.000000000000004,robot,amr-08,8,1,True,0.7086171059523622,-0.0692262596120877,-2.7653611498720525,,0.4793478438569711,0.4789413221509802,0.3595656045764086,-2.394590316950107,,,,,,,post_event
