t_s,method,robot,x_m,y_m,command_x_m,command_y_m,replay_error_m
36.48,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
36.48,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
36.48,distributed_pd_hocbf,1,1.3293150699999998,1.99263342,1.329315065379829,1.9926334152028502,6.660227124830338e-09
36.48,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
36.48,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
36.6,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
36.6,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
36.6,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
36.6,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
36.6,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
36.6,distributed_pd_hocbf,1,1.2566480900000006,1.97175659,1.2566480890122298,1.9717565912261974,1.5745637626572263e-09
36.6,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
36.6,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
36.72,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
36.72,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
36.72,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
36.72,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
36.72,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
36.72,distributed_pd_hocbf,1,1.1835611300000002,1.95164112,1.1835611331283777,1.951641117100694,4.265292590016196e-09
36.72,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
36.72,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
36.84,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
36.84,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
36.84,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
36.84,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
36.84,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
36.84,distributed_pd_hocbf,1,1.1101528600000004,1.93214365,1.110152857710876,1.9321436480664738,2.9964336137571262e-09
36.84,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
36.84,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
36.96,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
36.96,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
36.96,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
36.96,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
36.96,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
36.96,distributed_pd_hocbf,1,1.0365079499999998,1.9131153,1.036507954891964,1.9131152974698766,5.507525583634196e-09
36.96,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
36.96,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
37.08,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
37.08,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
37.08,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
37.08,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
37.08,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
37.08,distributed_pd_hocbf,1,0.9626960699999998,1.89441644,0.9626960711359711,1.894416443705436,3.8756530381882005e-09
37.08,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
37.08,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
37.2,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
37.2,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
37.2,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
37.2,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
37.2,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
37.2,distributed_pd_hocbf,1,0.8887725400000006,1.87592506,0.8887725383012022,1.8759250609339706,1.938612223232512e-09
37.2,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
37.2,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
37.32,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
37.32,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
37.32,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
37.32,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
37.32,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
37.32,distributed_pd_hocbf,1,0.8147801299999999,1.85754003,0.8147801317568453,1.8575400329400489,3.4249661163589057e-09
37.32,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
37.32,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
37.44,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
37.44,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
37.44,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
37.44,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
37.44,distributed_pd_hocbf,0,1.16826324,0.03835712,1.1682632448951962,0.03835712145649214,5.107280651179129e-09
37.44,distributed_pd_hocbf,1,0.7407513000000003,1.83918077,0.7407513037462286,1.8391807684309982,4.0615258897592555e-09
37.44,distributed_pd_hocbf,2,-1.0861572199999996,0.03378678,-1.0861572211207022,0.03378678301931949,3.2206000352764674e-09
37.44,distributed_pd_hocbf,3,-0.02403102999999973,-1.11731451,-0.02403102944654023,-1.1173145100810087,5.593566278048242e-10
37.56,direct_hocbf,0,-1.3899338100000005,0.08108932,-1.3899338077921621,0.08108932284800327,3.603563902484192e-09
37.56,direct_hocbf,1,1.3606462199999996,0.16784227,1.3606462183603938,0.16784226761772758,2.891976651048784e-09
37.56,direct_hocbf,2,-1.0382281400000002,0.03812484,-1.038228136007791,0.0381248449136816,6.331034781616598e-09
37.56,direct_hocbf,3,0.98567508,-0.41011369,0.9856750775765688,-0.4101136937250247,4.443965369538512e-09
