experiment,world_id,world_seed,replicate,scenario,scenario_label,capacity_mode,capacity_label,capacity_sigma,capacity_cv,N,K,M,reserve_delta,hungarian_declared_feasible,hungarian_capacity_feasible,hungarian_false_feasible,hungarian_total_shortfall_kg,hungarian_minimum_margin_kg,hungarian_mean_margin_kg,milp_feasible,milp_optimal_certified,milp_mip_gap,milp_rescues_false_feasible,milp_solver_ms,milp_error
heterogeneity,95927e763cffb1dace15,799451397,12,uniform,Aleatorio,extreme,Extrema,1.0,0.9406011934550351,18,4,12,0.2,True,False,True,5.029071946503247,-5.029071946503247,6.699010536603226,True,True,0.0,True,1.7086,
heterogeneity,8afa764877985dab776c,3184463833,13,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,0.3417531336830706,1.447291232281904,True,True,0.0,False,1.4131,
heterogeneity,8afa764877985dab776c,3184463833,13,uniform,Aleatorio,low,Baja,0.15,0.1205895204847744,18,4,12,0.2,True,False,True,0.04212472002114254,-0.04212472002114254,0.9490741548646919,True,True,0.0,True,7.8565,
heterogeneity,8afa764877985dab776c,3184463833,13,uniform,Aleatorio,moderate,Moderada,0.35,0.3034861897957265,18,4,12,0.2,True,False,True,3.248537532527582,-3.248537532527582,1.394987473996985,True,True,0.0,True,13.8863,
heterogeneity,8afa764877985dab776c,3184463833,13,uniform,Aleatorio,high,Alta,0.65,0.8904814577673316,18,4,12,0.2,True,False,True,11.79238173583969,-10.670627442653878,2.38030445548193,True,True,0.0,True,11.97,
heterogeneity,8afa764877985dab776c,3184463833,13,uniform,Aleatorio,extreme,Extrema,1.0,1.316085847602087,18,4,12,0.2,True,False,True,2.1862373175721306,-1.179269306519732,6.318624474609489,True,True,0.0,True,3.9934,
heterogeneity,016dbcaca0e68b456378,1532735777,14,uniform,Aleatorio,homogeneous,Homogénea,0.0,0.0,18,4,12,0.2,True,True,False,0.0,1.0461475951459915,2.488874167384357,True,True,0.0,False,1.4806,
heterogeneity,016dbcaca0e68b456378,1532735777,14,uniform,Aleatorio,low,Baja,0.15,0.13464446779533185,18,4,12,0.2,True,True,False,0.0,1.3615163864504698,2.9065780296817807,True,True,0.0,False,7.3323,
heterogeneity,016dbcaca0e68b456378,1532735777,14,uniform,Aleatorio,moderate,Moderada,0.35,0.18417036758015887,18,4,12,0.2,True,True,False,0.0,0.5024878745343244,2.4083691717024305,True,True,0.0,False,6.2547,
heterogeneity,016dbcaca0e68b456378,1532735777,14,uniform,Aleatorio,high,Alta,0.65,0.6736541396532514,18,4,12,0.2,True,False,True,0.54835873008299,-0.54835873008299,3.5286274300364657,True,True,0.0,True,17.2938,
