seed,radius_m,speed_mps,omega_rad_s,feasible,naive_feasible,false_feasible,margin,utilization,limiting_robot,limiting_wheel
63100,0.2,0.1,0.875,1,1,0,0.07715796983771195,0.922842030162288,r3,right
63100,0.2,0.1,0.9,1,1,0,0.07179706177867773,0.9282029382213223,r3,right
63100,0.2,0.1,0.925,1,1,0,0.06463416781744757,0.9353658321825524,r3,right
63100,0.2,0.1,0.9500000000000001,1,1,0,0.055969618937720234,0.9440303810622798,r3,right
63100,0.2,0.1,0.9750000000000001,1,1,0,0.046040518547679765,0.9539594814523202,r3,right
63100,0.2,0.1,1.0,1,1,0,0.035036549373872905,0.9649634506261271,r3,right
63100,0.2,0.1,1.0250000000000001,1,1,0,0.023111264099695217,0.9768887359003048,r3,right
63100,0.2,0.1,1.05,1,1,0,0.010390296738833293,0.9896097032611667,r3,right
63100,0.2,0.1,1.075,0,1,1,-0.0030225680887103756,1.0030225680887104,r3,right
63100,0.2,0.1,1.1,0,1,1,-0.01704084319960053,1.0170408431996005,r3,right
63100,0.2,0.1,1.125,0,1,1,-0.03159187935983576,1.0315918793598358,r3,right
63100,0.2,0.1,1.1500000000000001,0,1,1,-0.046614204140645654,1.0466142041406457,r3,right
63100,0.2,0.1,1.175,0,1,1,-0.062055452139743617,1.0620554521397436,r3,right
63100,0.2,0.1,1.2000000000000002,0,1,1,-0.07787073872659911,1.077870738726599,r3,right
63100,0.2,0.1,1.225,0,1,1,-0.09402137025420276,1.0940213702542028,r3,right
63100,0.2,0.1,1.25,0,1,1,-0.11047381222847963,1.1104738122284796,r3,right
63100,0.2,0.1,1.2750000000000001,0,1,1,-0.1271988571868481,1.127198857186848,r3,right
63100,0.2,0.1,1.3,0,1,1,-0.14417094859955082,1.1441709485995508,r3,right
63100,0.2,0.1,1.3250000000000002,0,1,1,-0.1613676276980105,1.1613676276980105,r3,right
63100,0.2,0.1,1.35,0,1,1,-0.17876907792171992,1.17876907792172,r3,right
63100,0.2,0.1,1.375,0,1,1,-0.1963577474599434,1.1963577474599434,r3,right
63100,0.2,0.1,1.4000000000000001,0,1,1,-0.21411803470313773,1.2141180347031377,r3,right
63100,0.2,0.1,1.425,0,1,1,-0.23203602470225126,1.2320360247022513,r3,right
63100,0.2,0.1,1.4500000000000002,0,1,1,-0.250099267239712,1.250099267239712,r3,right
63100,0.2,0.1,1.475,0,1,1,-0.26829658904333886,1.2682965890433389,r3,right
63100,0.2,0.1,1.5,0,1,1,-0.2866179341681694,1.2866179341681694,r3,right
63100,0.2,0.2,0.0,1,1,0,0.5200620797274893,0.47993792027251064,r4,left
63100,0.2,0.2,0.025,1,1,0,0.5199061270777221,0.48009387292227784,r4,right
63100,0.2,0.2,0.05,1,1,0,0.5194146577039302,0.4805853422960698,r4,right
63100,0.2,0.2,0.07500000000000001,1,1,0,0.5185530741863256,0.4814469258136744,r4,right
63100,0.2,0.2,0.1,1,1,0,0.5172882106924428,0.4827117893075572,r4,right
63100,0.2,0.2,0.125,1,1,0,0.5155887319163939,0.48441126808360613,r4,right
63100,0.2,0.2,0.15000000000000002,1,1,0,0.513425494516081,0.48657450548391906,r4,right
63100,0.2,0.2,0.17500000000000002,1,1,0,0.5107718627367551,0.4892281372632449,r4,right
63100,0.2,0.2,0.2,1,1,0,0.507603971718712,0.492396028281288,r4,right
63100,0.2,0.2,0.225,1,1,0,0.503900933994577,0.4960990660054229,r4,right
63100,0.2,0.2,0.25,1,1,0,0.4996449867704984,0.5003550132295016,r4,right
63100,0.2,0.2,0.275,1,1,0,0.49482157964128304,0.505178420358717,r4,right
63100,0.2,0.2,0.30000000000000004,1,1,0,0.4894194043088609,0.5105805956911391,r4,right
63100,0.2,0.2,0.325,1,1,0,0.48343036957106533,0.5165696304289347,r4,right
63100,0.2,0.2,0.35000000000000003,1,1,0,0.47684952626037147,0.5231504737396285,r4,right
63100,0.2,0.2,0.375,1,1,0,0.4696749479009459,0.5303250520990541,r4,right
63100,0.2,0.2,0.4,1,1,0,0.46190757360200874,0.5380924263979913,r4,right
63100,0.2,0.2,0.42500000000000004,1,1,0,0.4535510201226307,0.5464489798773693,r4,right
63100,0.2,0.2,0.45,1,1,0,0.4446113701522022,0.5553886298477978,r4,right
63100,0.2,0.2,0.47500000000000003,1,1,0,0.4350969436900234,0.5649030563099766,r4,right
63100,0.2,0.2,0.5,1,1,0,0.4250180590235949,0.5749819409764051,r4,right
63100,0.2,0.2,0.525,1,1,0,0.4143867892493708,0.5856132107506292,r4,right
63100,0.2,0.2,0.55,1,1,0,0.40321671960327377,0.5967832803967262,r4,right
63100,0.2,0.2,0.5750000000000001,1,1,0,0.3915227101195723,0.6084772898804277,r4,right
63100,0.2,0.2,0.6000000000000001,1,1,0,0.3793206673588003,0.6206793326411997,r4,right
63100,0.2,0.2,0.625,1,1,0,0.366627328174602,0.633372671825398,r4,right
63100,0.2,0.2,0.65,1,1,0,0.35346005775451406,0.6465399422454859,r4,right
63100,0.2,0.2,0.675,1,1,0,0.3353063117573509,0.6646936882426491,r3,left
63100,0.2,0.2,0.7000000000000001,1,1,0,0.26172637587016934,0.7382736241298307,r3,left
63100,0.2,0.2,0.7250000000000001,1,1,0,0.1710086719620999,0.8289913280379001,r3,left
63100,0.2,0.2,0.75,1,1,0,0.05801186962687577,0.9419881303731242,r3,left
