seed,dispersion_m,pressure,scalar_feasible,bilateral_feasible,supported_feasible,scalar_false_feasible,bilateral_false_feasible,supported_utilization,wrench_residual,internal_force_ratio,limiting_robot
63208,0.6,1.2,1,1,1,0,0,0.8219233165289117,6.055761952500853e-17,0.2914324054214306,r1
63208,0.8,0.2,1,1,1,0,0,0.13332094534199576,2.0185873175002847e-17,0.27691769408290223,r4
63208,0.8,0.4,1,1,1,0,0,0.2666418906839915,4.0371746350005693e-17,0.27691769408290223,r4
63208,0.8,0.6,1,1,1,0,0,0.39996283602598737,2.0756132531545805e-17,0.2769176940829019,r3
63208,0.8,0.8,1,1,1,0,0,0.533283781367983,8.074349270001139e-17,0.27691769408290223,r4
63208,0.8,1.0,1,1,1,0,0,0.6666047267099785,8.074349270001138e-16,0.276917694082902,r3
63208,0.8,1.2,1,1,1,0,0,0.7999256720519747,4.151226506309161e-17,0.2769176940829019,r3
63209,0.2,0.2,1,1,1,0,0,0.20288702944948497,2.0185873175002847e-17,0.4033516588225021,r2
63209,0.2,0.4,1,1,1,0,0,0.40577405889896995,4.0371746350005693e-17,0.4033516588225021,r2
63209,0.2,0.6,1,1,1,0,0,0.6086610883484573,1.1102230246251565e-16,0.403351658822507,r1
63209,0.2,0.8,1,1,1,0,0,0.8115481177979399,8.074349270001139e-17,0.4033516588225021,r2
63209,0.2,1.0,1,1,0,1,1,1.0144351472474291,6.637007864238974e-17,0.40335165882250246,r2
63209,0.2,1.2,1,1,0,1,1,1.2173221766969147,2.220446049250313e-16,0.403351658822507,r1
63209,0.4,0.2,1,1,1,0,0,0.1581409799551032,6.560408781875925e-16,0.3748570453763743,r4
63209,0.4,0.4,1,1,1,0,0,0.3162819599102064,1.312081756375185e-15,0.3748570453763743,r4
63209,0.4,0.6,1,1,1,0,0,0.47442293986529643,1.6855204101127376e-15,0.37485704537637304,r2
63209,0.4,0.8,1,1,1,0,0,0.6325639198204128,2.62416351275037e-15,0.3748570453763743,r4
63209,0.4,1.0,1,1,1,0,0,0.7907048997754957,7.266914343001025e-16,0.3748570453763705,r2
63209,0.4,1.2,1,1,1,0,0,0.9488458797305929,3.3710408202254753e-15,0.37485704537637304,r2
63209,0.6,0.2,1,1,1,0,0,0.13985727030261916,2.0690520004377916e-16,0.3030486589038102,r2
63209,0.6,0.4,1,1,1,0,0,0.2797145406052383,4.138104000875583e-16,0.3030486589038102,r2
63209,0.6,0.6,1,1,1,0,0,0.4195718109078568,6.156691318375869e-16,0.30304865890380994,r2
63209,0.6,0.8,1,1,1,0,0,0.5594290812104766,8.276208001751166e-16,0.3030486589038102,r2
63209,0.6,1.0,1,1,1,0,0,0.6992863515130943,8.074349270001139e-17,0.30304865890381005,r1
63209,0.6,1.2,1,1,1,0,0,0.8391436218157136,1.2313382636751737e-15,0.30304865890380994,r2
63209,0.8,0.2,1,1,1,0,0,0.13124033475123506,8.074349270001139e-17,0.26974115080825645,r4
63209,0.8,0.4,1,1,1,0,0,0.2624806695024701,1.6148698540002277e-16,0.26974115080825645,r4
63209,0.8,0.6,1,1,1,0,0,0.39372100425370526,2.220446049250313e-16,0.26974115080825667,r4
63209,0.8,0.8,1,1,1,0,0,0.5249613390049402,3.2297397080004555e-16,0.26974115080825645,r4
