world_hash,instance_hash,regime,n_coalitions,n_robots,seed,communication_edges,mean_degree,max_degree,components,connected,algebraic_connectivity,profile_space,oracle_certified,exact_identity_exhaustively_checked,exact_network_potential_verified,strict_potential_monotonicity,better_response_visible_nash,strict_moves,finite_move_bound,catalogue_has_conflict_free_profile,single_message_failure_probability,failure_after_five_retransmissions
b0d39077a55b201e5a18506b9e3e94c1c10553f5b03e1c6da54345c5a38328d4,584e5b3698216fe83c49f12ab81343b21d866b1db6812fcfd2212cfce5600dba,independent_loss,4,8,8812,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,0,15,True,0.25,0.0009765625
49bacf1e58510862df6cbdd4eb0a55af0ac011d8161a297534f12040c56c785a,584e5b3698216fe83c49f12ab81343b21d866b1db6812fcfd2212cfce5600dba,harsh_combined,4,8,8812,0,0.0,0,4,False,0.0,16,True,True,True,True,True,2,15,True,0.35,0.005252187499999998
8b689b7d6abaadf46f16326492a7e998b256f59ec02f541b51fe14ae55032574,cfc00e6204778f4f1621c1296e02aa7b8a0d642ca801e649c6fbf57f4da3ea32,nominal,4,8,8813,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.0,0.0
0ecb398d389fc93642f01079595d6fdcb2e8614727dc56a9340ed8f505b10342,cfc00e6204778f4f1621c1296e02aa7b8a0d642ca801e649c6fbf57f4da3ea32,sparse_radio,4,8,8813,0,0.0,0,4,False,0.0,16,True,True,True,True,True,1,15,True,0.0,0.0
0d35e6316a6b037380dcf88a832ee4692cb31d21ff6c0a61989b2229d339eba4,cfc00e6204778f4f1621c1296e02aa7b8a0d642ca801e649c6fbf57f4da3ea32,bounded_delay,4,8,8813,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.0,0.0
8f9225d02f2d02fc8b2729d90370d651d3d0585a1ee76a4c53a8a717bda394a5,cfc00e6204778f4f1621c1296e02aa7b8a0d642ca801e649c6fbf57f4da3ea32,independent_loss,4,8,8813,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.25,0.0009765625
edf95f9088a495935673ac4c1f002ae5669f236f3bc75a7d8614bc342e0167d5,cfc00e6204778f4f1621c1296e02aa7b8a0d642ca801e649c6fbf57f4da3ea32,harsh_combined,4,8,8813,0,0.0,0,4,False,0.0,16,True,True,True,True,True,1,15,True,0.35,0.005252187499999998
04eb737e9c8719deefa61bec8d157b916fe627139b30d218651d8418a127cdba,9650180492eac9cef1e1b2788da03006c9965cdc7ad06855a377639d91dc964b,nominal,4,8,8814,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.0,0.0
fc650dc4c0994d16a74d1269ca8f86dc1296ca2ed653888baec4e8566ad0aa73,9650180492eac9cef1e1b2788da03006c9965cdc7ad06855a377639d91dc964b,sparse_radio,4,8,8814,0,0.0,0,4,False,0.0,16,True,True,True,True,True,2,15,True,0.0,0.0
f808c2c4e09c5c5b09553a3f34b7ce6b9bb0e50acb2b326b18d2c32f008000dd,9650180492eac9cef1e1b2788da03006c9965cdc7ad06855a377639d91dc964b,bounded_delay,4,8,8814,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.0,0.0
943d793cc5a147eee33a2155123a26bb57ea174294ab25a467ef611da06eeda7,9650180492eac9cef1e1b2788da03006c9965cdc7ad06855a377639d91dc964b,independent_loss,4,8,8814,6,3.0,3,1,True,3.9999999999999982,16,True,True,True,True,True,1,15,True,0.25,0.0009765625
